# startpos ply 3 openings
# filtered with Autaxx
# depth 12 search with abs(eval) <= 300

x5o/7/7/7/7/7/oo2xxx o 0 2
x5o/7/7/7/7/4x2/oo3xx o 0 2
x5o/7/7/7/7/5x1/oo3xx o 0 2
x5o/7/7/7/7/6x/oo3xx o 0 2
x5o/x6/7/7/7/7/oo3xx o 0 2
x5o/1x5/7/7/7/7/oo3xx o 0 2
xx4o/7/7/7/7/7/oo3xx o 0 2
x5o/7/7/7/4x2/7/oo4x o 1 2
x5o/7/7/7/5x1/7/oo4x o 1 2
x5o/7/7/7/6x/7/oo4x o 1 2
x5o/7/7/7/7/7/oo2xx1 o 1 2
x5o/7/7/7/7/4x2/oo3x1 o 1 2
x5o/7/7/7/4x2/7/oo3x1 o 1 2
x5o/7/7/7/5x1/7/oo3x1 o 1 2
x5o/7/7/7/6x/7/oo3x1 o 1 2
6o/7/x6/7/7/7/oo3xx o 1 2
6o/7/1x5/7/7/7/oo3xx o 1 2
6o/7/2x4/7/7/7/oo3xx o 1 2
6o/2x4/7/7/7/7/oo3xx o 1 2
2x3o/7/7/7/7/7/oo3xx o 1 2
x5o/7/7/7/7/o6/o3xxx o 0 2
x5o/7/7/7/7/o3x2/o4xx o 0 2
x5o/7/7/7/7/o4x1/o4xx o 0 2
x5o/7/7/7/7/o5x/o4xx o 0 2
x5o/1x5/7/7/7/o6/o4xx o 0 2
xx4o/7/7/7/7/o6/o4xx o 0 2
x5o/7/7/7/4x2/o6/o5x o 1 2
x5o/7/7/7/5x1/o6/o5x o 1 2
x5o/7/7/7/6x/o6/o5x o 1 2
x5o/7/7/7/7/o6/o3xx1 o 1 2
x5o/7/7/7/7/o3x2/o4x1 o 1 2
x5o/7/7/7/4x2/o6/o4x1 o 1 2
x5o/7/7/7/5x1/o6/o4x1 o 1 2
x5o/7/7/7/6x/o6/o4x1 o 1 2
6o/7/x6/7/7/o6/o4xx o 1 2
6o/7/1x5/7/7/o6/o4xx o 1 2
6o/7/2x4/7/7/o6/o4xx o 1 2
6o/2x4/7/7/7/o6/o4xx o 1 2
2x3o/7/7/7/7/o6/o4xx o 1 2
x5o/7/7/7/7/1o5/o3xxx o 0 2
x5o/7/7/7/7/1o2x2/o4xx o 0 2
x5o/7/7/7/7/1o3x1/o4xx o 0 2
x5o/7/7/7/7/1o4x/o4xx o 0 2
x5o/x6/7/7/7/1o5/o4xx o 0 2
x5o/1x5/7/7/7/1o5/o4xx o 0 2
xx4o/7/7/7/7/1o5/o4xx o 0 2
x5o/7/7/7/4x2/1o5/o5x o 1 2
x5o/7/7/7/5x1/1o5/o5x o 1 2
x5o/7/7/7/6x/1o5/o5x o 1 2
x5o/7/7/7/7/1o5/o3xx1 o 1 2
x5o/7/7/7/7/1o2x2/o4x1 o 1 2
x5o/7/7/7/4x2/1o5/o4x1 o 1 2
x5o/7/7/7/5x1/1o5/o4x1 o 1 2
x5o/7/7/7/6x/1o5/o4x1 o 1 2
6o/7/x6/7/7/1o5/o4xx o 1 2
6o/7/1x5/7/7/1o5/o4xx o 1 2
6o/7/2x4/7/7/1o5/o4xx o 1 2
6o/2x4/7/7/7/1o5/o4xx o 1 2
2x3o/7/7/7/7/1o5/o4xx o 1 2
x5o/5o1/7/7/7/7/o3xxx o 0 2
x5o/5o1/7/7/7/4x2/o4xx o 0 2
x5o/5o1/7/7/7/5x1/o4xx o 0 2
x5o/x4o1/7/7/7/7/o4xx o 0 2
x5o/1x3o1/7/7/7/7/o4xx o 0 2
x5o/5o1/7/7/5x1/7/o5x o 1 2
x5o/5o1/7/7/6x/7/o5x o 1 2
x5o/5o1/7/7/7/7/o3xx1 o 1 2
x5o/5o1/7/7/7/4x2/o4x1 o 1 2
x5o/5o1/7/7/4x2/7/o4x1 o 1 2
x5o/5o1/7/7/5x1/7/o4x1 o 1 2
x5o/5o1/7/7/6x/7/o4x1 o 1 2
6o/5o1/x6/7/7/7/o4xx o 1 2
6o/5o1/1x5/7/7/7/o4xx o 1 2
6o/5o1/2x4/7/7/7/o4xx o 1 2
6o/2x2o1/7/7/7/7/o4xx o 1 2
2x3o/5o1/7/7/7/7/o4xx o 1 2
x5o/6o/7/7/7/7/o3xxx o 0 2
x5o/6o/7/7/7/4x2/o4xx o 0 2
x5o/6o/7/7/7/5x1/o4xx o 0 2
x5o/x5o/7/7/7/7/o4xx o 0 2
x5o/1x4o/7/7/7/7/o4xx o 0 2
x5o/6o/7/7/7/3x3/o5x o 1 2
x5o/6o/7/7/5x1/7/o5x o 1 2
x5o/6o/7/7/6x/7/o5x o 1 2
x5o/6o/7/7/7/7/o3xx1 o 1 2
x5o/6o/7/7/7/4x2/o4x1 o 1 2
x5o/6o/7/7/4x2/7/o4x1 o 1 2
x5o/6o/7/7/5x1/7/o4x1 o 1 2
x5o/6o/7/7/6x/7/o4x1 o 1 2
6o/6o/x6/7/7/7/o4xx o 1 2
6o/6o/1x5/7/7/7/o4xx o 1 2
6o/6o/2x4/7/7/7/o4xx o 1 2
6o/2x3o/7/7/7/7/o4xx o 1 2
2x3o/6o/7/7/7/7/o4xx o 1 2
x4oo/7/7/7/7/7/o3xxx o 0 2
x4oo/7/7/7/7/4x2/o4xx o 0 2
x4oo/7/7/7/7/5x1/o4xx o 0 2
x4oo/1x5/7/7/7/7/o4xx o 0 2
x4oo/7/7/7/5x1/7/o5x o 1 2
x4oo/7/7/7/6x/7/o5x o 1 2
x4oo/7/7/7/7/7/o3xx1 o 1 2
x4oo/7/7/7/7/4x2/o4x1 o 1 2
x4oo/7/7/7/4x2/7/o4x1 o 1 2
x4oo/7/7/7/5x1/7/o4x1 o 1 2
x4oo/7/7/7/6x/7/o4x1 o 1 2
5oo/7/x6/7/7/7/o4xx o 1 2
5oo/7/1x5/7/7/7/o4xx o 1 2
5oo/7/2x4/7/7/7/o4xx o 1 2
5oo/2x4/7/7/7/7/o4xx o 1 2
2x2oo/7/7/7/7/7/o4xx o 1 2
x5o/7/7/7/7/5x1/2o2xx o 0 2
